state,date,confirmed_cases,confirmed_cases_norm,confirmed_deaths,confirmed_deaths_norm
AL,2020-06-26,5204.0,7716.0,79.0,217.0
AL,2020-06-27,5678.0,8277.0,75.0,199.0
AL,2020-06-28,5400.0,7881.0,70.0,189.0
AL,2020-06-29,6381.0,9215.0,69.0,186.0
AL,2020-06-30,6818.0,9507.0,74.0,192.0
AL,2020-07-01,6588.0,9061.0,72.0,194.0
AL,2020-07-02,6769.0,9310.0,68.0,141.0
AL,2020-07-03,7460.0,10298.0,81.0,188.0
AL,2020-07-04,7352.0,10016.0,96.0,212.0
AL,2020-07-05,8133.0,10970.0,86.0,196.0
AL,2020-07-06,7519.0,10016.0,86.0,196.0
AL,2020-07-07,7343.0,9938.0,79.0,181.0
AL,2020-07-08,7871.0,10449.0,81.0,153.0
AL,2020-07-09,8502.0,11069.0,85.0,161.0
AL,2020-07-10,8355.0,10783.0,81.0,126.0
AL,2020-07-11,9074.0,11716.0,94.0,175.0
