state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
AZ,04,Arizona,7171646,2020-06-02 15:35:34.457534 UTC,2020-03-05,5,Pre,F,1.3,0.0056689273976290033,F,1,-0.11546639561075805,F,1,-0.40966248702432595,D,2
WV,54,West Virginia,1805832,2020-06-02 15:35:34.457534 UTC,2020-02-29,7,Pre,F,1,0.035563994298220443,F,1,0.02916960470246106,F,1,-0.27637435101660857,F,1
IA,19,Iowa,3156145,2020-06-02 15:35:34.457534 UTC,2020-03-31,3,Post,D,2,-0.23559073058007032,F,1,-0.48075647759021523,F,1,-0.88367407404065024,B,4
IA,19,Iowa,3156145,2020-06-02 15:35:34.457534 UTC,2020-03-10,3,Post,F,1.3,-0.018096565716900413,F,1,-0.014742981386911991,F,1,-0.42089032349970357,D,2
IA,19,Iowa,3156145,2020-06-02 15:35:34.457534 UTC,2020-03-05,5,Pre,F,1.3,-0.022372035770842694,F,1,-0.06183365575735357,F,1,-0.44016464010142897,D,2
CA,06,California,39557045,2020-06-02 15:35:34.457534 UTC,2020-03-21,7,Post,B,4,-0.47090147161996637,C,3,-0.723850903248711,A,5,-0.82492808979764742,B,4
NH,33,New Hampshire,1356458,2020-06-02 15:35:34.457534 UTC,2020-04-30,5,Post,C-,2.7,-0.45278788970934536,C,3,-0.38542391148640226,F,1,-0.84058010770020652,B,4
NH,33,New Hampshire,1356458,2020-06-02 15:35:34.457534 UTC,2020-04-12,1,Post,A-,4.7,-0.56785535652703667,B,4,-0.736881913433333,A,5,-0.94025722361532982,A,5
AR,05,Arkansas,3013825,2020-06-02 15:35:34.457534 UTC,2020-05-28,5,Post,F,1,-0.075380112471584451,F,1,-0.11808760341990171,F,1,-0.31978779007249047,F,1
AR,05,Arkansas,3013825,2020-06-02 15:35:34.457534 UTC,2020-05-11,2,Post,F,1.3,-0.11838214695983228,F,1,-0.080920924548199741,F,1,-0.4225642739105735,D,2
AR,05,Arkansas,3013825,2020-06-02 15:35:34.457534 UTC,2020-05-10,1,Post,F,1.3,-0.091009008443855344,F,1,-0.10670258981780696,F,1,-0.464522746734481,D,2
AR,05,Arkansas,3013825,2020-06-02 15:35:34.457534 UTC,2020-04-20,2,Post,F,1.3,-0.21164777445190436,F,1,-0.47536549478745155,F,1,-0.73665679961553743,D,2
AR,05,Arkansas,3013825,2020-06-02 15:35:34.457534 UTC,2020-04-12,1,Post,B-,3.7,-0.48225147252299888,C,3,-0.6810505061648322,B,4,-0.89515289692805278,B,4
AR,05,Arkansas,3013825,2020-06-02 15:35:34.457534 UTC,2020-03-05,5,Pre,F,1,0.012244002681213353,F,1,-0.099714719270077787,F,1,-0.076111347127045481,F,1
KY,21,Kentucky,4468402,2020-06-02 15:35:34.457534 UTC,2020-03-09,2,Post,F,1,-0.013870682541738495,F,1,-0.032306252130787041,F,1,0.13754522809741454,F,1
MS,28,Mississippi,2986530,2020-06-02 15:35:34.457534 UTC,2020-05-07,5,Post,F,1,-0.12951066745096343,F,1,-0.27972582434354126,F,1,-0.316363967919881,F,1
OK,40,Oklahoma,3943079,2020-06-02 15:35:34.457534 UTC,2020-03-19,5,Post,F,1.3,-0.15131260405270935,F,1,-0.44421090289944881,F,1,-0.68554946716767429,D,2
HI,15,Hawaii,1420491,2020-06-02 15:35:34.457534 UTC,2020-02-25,3,Pre,F,1,-0.014237187338151686,F,1,-0.030670969417810074,F,1,1.2772509263623606,F,1
